SCOTLAND INTERNATIONAL FOOTBALLERS (1+ CAPS) WITH FIRST CAP AFTER NOVEMBER 5, 1995
Total: 232 players
================================================================================

126. Chris Maguire             |   2 caps |  0 goals | First: February 09, 2011 vs Northern Ireland | Last: May 29, 2011    vs Republic of Ireland
127. Mark Wilson               |   1 caps |  0 goals | First: February 09, 2011 vs Northern Ireland | Last: February 09, 2011 vs Northern Ireland
128. Craig Mackail-Smith       |   7 caps |  1 goals | First: March 27, 2011  vs Brazil          | Last: May 26, 2012    vs United States
129. Grant Hanley              |  64 caps |  2 goals | First: May 25, 2011    vs Wales           | Last: October 09, 2025 vs Greece
130. Russell Martin            |  29 caps |  0 goals | First: May 25, 2011    vs Wales           | Last: March 26, 2017  vs Slovenia
131. James Forrest             |  39 caps |  5 goals | First: May 29, 2011    vs Republic of Ireland | Last: June 03, 2024   vs Gibraltar
132. Jordan Rhodes             |  14 caps |  3 goals | First: November 11, 2011 vs Cyprus          | Last: March 22, 2017  vs Canada
133. Charlie Mulgrew           |  44 caps |  3 goals | First: February 29, 2012 vs Slovenia        | Last: October 10, 2019 vs Russia
134. Matt Phillips             |  16 caps |  1 goals | First: May 26, 2012    vs United States   | Last: September 09, 2019 vs Belgium
135. Matt Gilks                |   3 caps |  0 goals | First: August 15, 2012 vs Australia       | Last: September 10, 2013 vs North Macedonia
136. Ian Black                 |   1 caps |  0 goals | First: August 15, 2012 vs Australia       | Last: August 15, 2012 vs Australia
137. Paul Dixon                |   3 caps |  0 goals | First: September 08, 2012 vs Serbia          | Last: November 14, 2012 vs Luxembourg
138. Leigh Griffiths           |  22 caps |  4 goals | First: November 14, 2012 vs Luxembourg      | Last: November 18, 2020 vs Israel
139. Murray Davidson           |   1 caps |  0 goals | First: November 14, 2012 vs Luxembourg      | Last: November 14, 2012 vs Luxembourg
140. Liam Kelly                |   1 caps |  0 goals | First: November 14, 2012 vs Luxembourg      | Last: November 14, 2012 vs Luxembourg
141. Andrew Shinnie            |   1 caps |  0 goals | First: November 14, 2012 vs Luxembourg      | Last: November 14, 2012 vs Luxembourg
142. George Boyd               |   2 caps |  0 goals | First: March 26, 2013  vs Serbia          | Last: May 28, 2014    vs Nigeria
143. Liam Bridcutt             |   2 caps |  0 goals | First: March 26, 2013  vs Serbia          | Last: March 29, 2016  vs Denmark
144. Ikechi Anya               |  29 caps |  3 goals | First: September 06, 2013 vs Belgium         | Last: October 08, 2017 vs Slovenia
145. Gordon Greer              |  11 caps |  0 goals | First: November 15, 2013 vs United States   | Last: June 04, 2016   vs France
146. Gary Mackay-Steven        |   2 caps |  0 goals | First: November 15, 2013 vs United States   | Last: October 14, 2018 vs Portugal
147. Andy Robertson            |  88 caps |  4 goals | First: March 05, 2014  vs Poland          | Last: October 12, 2025 vs Belarus
148. Chris Martin              |  17 caps |  3 goals | First: May 28, 2014    vs Nigeria         | Last: October 08, 2017 vs Slovenia
149. Craig Forsyth             |   4 caps |  0 goals | First: May 28, 2014    vs Nigeria         | Last: June 13, 2015   vs Republic of Ireland
150. Johnny Russell            |  14 caps |  1 goals | First: November 18, 2014 vs England         | Last: October 13, 2019 vs San Marino
151. Stevie May                |   1 caps |  0 goals | First: November 18, 2014 vs England         | Last: November 18, 2014 vs England
152. Matt Ritchie              |  16 caps |  3 goals | First: March 25, 2015  vs Northern Ireland | Last: March 23, 2018  vs Costa Rica
